date,ticker,price_local_currency,currency,conversion_rate,price_usd,shares,market_cap_usd
2023-11-01,JPM,148.60939025878906,USD,1.0,148.60939025878906,2697032375,400804336756.96375
2023-12-01,JPM,161.95835876464844,USD,1.0,161.95835876464844,2697032375,436806936990.1218
2024-01-01,JPM,166.01441955566406,USD,1.0,166.01441955566406,2697032375,447746264258.4591
2024-02-01,JPM,178.246826171875,USD,1.0,178.246826171875,2697032375,480737460926.5442
2024-03-01,JPM,191.8888397216797,USD,1.0,191.8888397216797,2697032375,517530413130.5561
2024-04-01,JPM,183.68832397460935,USD,1.0,183.68832397460935,2697032375,495413356669.0101
2024-05-01,JPM,195.2533416748047,USD,1.0,195.2533416748047,2697032375,526604583823.88495
2024-06-01,JPM,194.89678955078125,USD,1.0,194.89678955078125,2697032375,525642951202.01874
2024-07-01,JPM,205.0531311035156,USD,1.0,205.0531311035156,2697032375,553034933181.301
2024-08-01,JPM,217.8165435791016,USD,1.0,217.8165435791016,2697032375,587458269843.4354
2024-09-01,JPM,204.30958557128903,USD,1.0,204.30958557128903,2697032375,551029566808.5994
2024-10-01,JPM,215.02603149414065,USD,1.0,215.02603149414065,2697032375,579932168407.4669
2024-11-01,JPM,243.44515991210935,USD,1.0,243.44515991210935,2697032375,656579477820.0111
2024-12-01,JPM,233.6866912841797,USD,1.0,233.6866912841797,2697032375,630260572000.063
2025-01-01,JPM,260.5834045410156,USD,1.0,260.5834045410156,2697032375,702801878434.8412
2025-02-01,JPM,259.3324890136719,USD,1.0,259.3324890136719,2697032375,699428118759.2048
2025-03-01,JPM,240.37127685546875,USD,1.0,240.37127685546875,2697032375,648289115699.2874
2025-04-01,JPM,239.70492553710935,USD,1.0,239.70492553710935,2697032375,646491944620.5482
2025-05-01,JPM,260.2889709472656,USD,1.0,260.2889709472656,2697032375,702007781500.2098
2025-06-01,JPM,285.83477783203125,USD,1.0,285.83477783203125,2697032375,770905649713.9207
2025-07-01,JPM,292.07574462890625,USD,1.0,292.07574462890625,2697032375,787737739216.3926
2025-08-01,JPM,298.6147155761719,USD,1.0,298.6147155761719,2697032375,805373555560.3523
2025-09-01,JPM,312.4942932128906,USD,1.0,312.4942932128906,2697032375,842807225797.9088
2025-10-01,JPM,308.2243957519531,USD,1.0,308.2243957519531,2697032375,831291174107.8301
2025-11-01,JPM,311.6741027832031,USD,1.0,311.6741027832031,2697032375,840595145655.3765
2025-12-01,JPM,320.7730712890625,USD,1.0,320.7730712890625,2697032375,865135358294.7845
2026-01-01,JPM,304.51641845703125,USD,1.0,304.51641845703125,2697032375,821290639297.6609
2026-02-01,JPM,300.29998779296875,USD,1.0,300.29998779296875,2697032375,809918789289.7415
2016-01-01,MSFT,48.12753677368164,USD,1.0,48.12753677368164,7425629076,357377236422.9096
2016-02-01,MSFT,44.449615478515625,USD,1.0,44.449615478515625,7425629076,330066357114.2853
2016-03-01,MSFT,48.59626770019531,USD,1.0,48.59626770019531,7425629076,360857858419.64996
2016-04-01,MSFT,43.88005828857422,USD,1.0,43.88005828857422,7425629076,325837036684.21155
2016-05-01,MSFT,46.634124755859375,USD,1.0,46.634124755859375,7425629076,346287712720.9208
2016-06-01,MSFT,45.33882141113281,USD,1.0,45.33882141113281,7425629076,336669270542.07916
2016-07-01,MSFT,50.22094345092773,USD,1.0,50.22094345092773,7425629076,372922097913.3607
2016-08-01,MSFT,50.91205596923828,USD,1.0,50.91205596923828,7425629076,378054043124.1151
2016-09-01,MSFT,51.35418319702149,USD,1.0,51.35418319702149,7425629076,381337115922.03345
2016-10-01,MSFT,53.422611236572266,USD,1.0,53.422611236572266,7425629076,396696495314.1353
2016-11-01,MSFT,53.72574615478516,USD,1.0,53.72574615478516,7425629076,398947462776.7679
2016-12-01,MSFT,55.77616500854492,USD,1.0,55.77616500854492,7425629076,414173112635.225
2017-01-01,MSFT,58.02910232543945,USD,1.0,58.02910232543945,7425629076,430902589481.9624
2017-02-01,MSFT,57.427734375,USD,1.0,57.427734375,7425629076,426437054143.8047
2017-03-01,MSFT,59.47359848022461,USD,1.0,59.47359848022461,7425629076,441628882129.1053
2017-04-01,MSFT,61.82144546508789,USD,1.0,61.82144546508789,7425629076,459063122965.90497
2017-05-01,MSFT,63.067657470703125,USD,1.0,63.067657470703125,7425629076,468317031069.66174
2017-06-01,MSFT,62.602684020996094,USD,1.0,62.602684020996094,7425629076,464864310701.9492
2017-07-01,MSFT,66.02662658691406,USD,1.0,66.02662658691406,7425629076,490289238173.9837
2017-08-01,MSFT,67.90657806396484,USD,1.0,67.90657806396484,7425629076,504249060523.44116
2017-09-01,MSFT,68.01276397705078,USD,1.0,68.01276397705078,7425629076,505037557727.11365
2017-10-01,MSFT,75.94710540771484,USD,1.0,75.94710540771484,7425629076,563955034153.5642
